label;title;text
Backend;Reactive Streams principles applied in Akka Streams;In this talk we’ll have a look at Akka Streams and its relation to Reactive Streams, a standard for asynchronous stream processing with non-blocking back pressure. We’ll see how Reactive Streams principles enable the building of highly responsive applications that adapt to load changes and that are resilient to failure. Real-life scenarios will be shown where applying so-called back-pressure keeps systems fast and healthy at the same time.
Backend;CDI 2.0 is upon us;"Like the Winter in some famous TV show, CDI 2.0 has been Coming for nearly 2 years. But now CDI 2.0 is Here (like the same Winter) and all the new stuff it brings will deeply change your Java EE, MicroProfile and Java SE experience. In this session I will review the major features introduced in CDI 2.0 and I'll demonstrate how it can be used in various environment like Java EE 7 application server, MicroProfile platform or even Java SE. If you still think that CDI is a simple Dependency Injection solution bound to Java EE or think that there's only one platform to bootstrap advanced service on Java SE, come and see that the CDI """"Winter"""" can compete with """"Spring""""."
Backend;Netty @ Apple - Scaling to millions of messages per second;At Apple our Services need to be build with scale in mind as we handling millions of messages per second on transfering massive amount of data. Many of our java based services are built on top of Netty (an open source asynchronous event-driven networking framework). We are not only a big user of Netty but are also amongst the top contributes to this project and have made many performance related enhancements. This talk will highlight our experiences and challenges involved with Netty in a production environment at scale. We will discuss best-practices and also key contributions we made over the past few years to keep up with ever increasing load. You want want to learn how to get the most out of your Netty based services? This talk is for you!
Backend;The New HTTP Client API in JDK 9;JDK 9 includes a new HTTP client API that supports HTTP versions 1.1 and 2. The API can be used in a simple synchronous or blocking mode or asynchronously with java.util.concurrent.CompletableFuture. This session introduces the API, the implementation, and also some of the innovations and benefits of HTTP/2 itself.
Backend;Introducing the MicroProfile;MicroProfile is not just a new buzzword. It's a serious collaboration to evolve Enterprise Java in a Microservices world, supported by such companies as Red Hat, IBM, LJC, Payara and Tomitribe. Since its launch in June the MicroProfile collaboration has gained the attention and participation from the wider Enterprise Java community including members of Spring, JUGs and several hundred developers completing the online poll and joining the discussions. Slated as a mix of APIs including CDI, JAX-RS and WebSockets, standards including OAuth 2.0 and JWT, deployment concepts including Uber-Jars, the MicroProfile has quickly morphed based on community feedback. In this this session we’ll explore what started the initiative, what it hopes to achieve, the community discussion and focuses thus far and how to get involved. We’ll detail the final roadmap the MicroProfile 1.0, possibilities for beyond and show what you can do with the MicroProfile today.
Backend;A tour of the (advanced) Akka features in 60 minutes;Akka is a very interesting and powerful framework which can be used to build high performance applications. But what can you do with Akka? This session will start with the basics and then cover some of the more advanced topics such as Finite State Machines, Akka HTTP, remote actors, clustering, routing, sharding and persistence. The demo will be done on a Raspberry Pi Akka cluster. After this session you know what is possible with Akka and you can start using those features yourself.
Backend;It is tough to be an application in 2016. Lagom can help.;"It is tough to be an application in 2016. The requirements have never been more pressing. It is expected to manage high user load and unimaginable amounts of data; be spread between cloud, mobile devices and anything in between; be ready to be updated several times a day, yet be always available; and deliver near-realtime performance as everything mentioned earlier wasn't challenging enough. As hard as it might sound, it is still doable however certain design principles of scalable, distributed systems should be followed. In this talk, we will discuss those principles as well as introduce Lagom - the reactive microservices framework that lets you utilize these concepts in a concise, clear, and elegant way. Opponents of microservices approach, JEE enthusiasts and Java developers who are generally interested in building systems with modern demands are equally welcome to come and participate in the discussion, where 'highly available' and 'resilient' are treated as technical computer science terms rather than buzzwords."
Backend;Property-Based Testing for everyone;Property-based tests have the false reputation of being for functional programmers only & for doing “Mathy”-stuff only. Let‘s break that: Your business domain is rich in properties that you can test in Java! Let‘s dive in so next monday you‘ll use properties to: - write fewer tests, with less boilerplate, that test more - Reduce your test technical debt - Write tests that document your business rules explicitly - Find your business domain invariants and guide your design
Backend;Advanced Spring Data REST;Spring Data REST provides a solid foundation to build domain-driven REST webservices leveraging hypermedia. It takes away the boilerplate part of the development and allows you to concentrate and easily hook code to cover more advanced scenarios, like custom state transitions. The talk is going to look into which means the library provides to easily integrate manually coded REST resources, tweak representations and work with lookup types (database backed value types) and especially focusses on the features added in recent releases.
Backend;“Right Size” your Services with WildFly Swarm;This talk will emphasize that “size isn’t everything” and that what is the “right size” very much depends on your specific circumstances. Within that context, we will discuss developing Java EE “Right Size” services with WildFly Swarm, while providing various diverse demonstrations on how WildFly Swarm works and its ease of use. If you’re an experienced Java EE company, and you’ve been thinking about investigating microservices, that doesn’t have to mean doing away with Java EE. We will show how WildFly Swarm can construct a single Jar containing a Java EE Application along with any WildFly components your Java EE Application would require. These can be deployed easily and quickly to any environment with a JVM. We will finish by going beyond Java EE and exploring non Java EE technologies that WildFly Swarm has integrated with, such as Netflix Ribbon, Swagger, and Jolokia, that ease development for highly distributed applications intended for “cloud first” deployments.
Backend;Cloud Native Java;“It is not necessary to change. Survival is not mandatory.” -W. Edwards Deming Work takes time to flow through an organization and ultimately be deployed to production where it captures value. It’s critical to reduce time-to-production. Software - for many organizations and industries - is a competitive advantage. Microservices enable speed, but without safety is dangerous. In this talk we'll look at how to safely execute in standing up production worthy services, and how to address the complexity implied in building a distributed system.
Backend;Introduction to gRPC: A general RPC framework that puts mobile and HTTP/2 first;gRPC is a high performance, language-neutral, general RPC framework developed and open sourced by Google. Built on the HTTP/2 standard, gRPC brings many benefits such as bidirectional streaming, flow control, header compression, multiplexing and more. In this session, you will learn about gRPC and how you can use it in your Java applications through a series of code samples and demos.
Backend;Understanding legacy untested code via Exporatory TDD technique;Test suite and code it tests are in fact symmetry of each other: both are double checks of each other. Therefore, it should be possible to derive tests from the code as much as it is possible to derive code from the tests one test at a time. This is not a pleasant process of course. But turns out that there are techniques that allow one to derive tests one at a time from the code with full confidence and in small increments until there is nothing else to test. I want to tell you about one such technique and my experiences of using it.
Backend;REST API refactor: real case scenario;"I recently joined Flaconi.de, where I have been in charge of enhancing and re-factoring the backend API in PHP. The idea to make the API RESTful has been and still is, not an easy journey. I had to go trough 3 different steps to achieve the result I was looking for: 1) Implement a proper GIT flow, as our team was growing; 2) Re-factor the whole API to be REST. We made some compromises, but we achieved a nearly RESTful goal; 3) Implement API tests via Codeception (we were already using Unit Tests)."
Backend;Reactive Web Applications with Spring 5;The Spring Framework and the Reactor teams have been busy working on support for reactive programming models over the last 2 years. By the end of this year Reactor 2.5 will be GA and Spring Framework 5 will have a release candidate. This talk will explain the major paradigm shift that's taking place and demonstrate what is arguably one of the most consequential additions to Spring Framework 5.
Backend;Reactive Microservices with Vert.x;"Everybody is talking about microservices and reactive programming these days. And there’s a reason for that: the high-demand and high-scale distributed world that we have today, reacting to events in an asynchronous and non-blocking fashion seems the right approach to deal with scalability. And to achieve microservices you need a lightweight, fast, modular, high-performance and un-opinionated environment. Meet Vert.x: a toolkit for building reactive applications on the JVM. Come to this session to see how you can use Vert.x to create reactive code using Java, Groovy, JavaScript or other JVM languages. We’ll demonstrate how to build Vert.x-based systems leveraging the unique Vert.x event bus for creating apps with real-time communications from the modern web browser to the cloud and back again. Have fun with a large number of live demonstrations that will cause you to reconsider your reliance on monoliths and consider leaving tradition behind for an event-driven, reactive, microservice-focused architecture."""""""
Backend;Sane Sharding with Akka Cluster;Writing distributed applications is very hard, especially when you start developing them as single-noded ones. Programmers tend to focus on functionalities first, leaving the scalability issues for later. Fortunately, Akka gives us many tools for scaling out and we can use them very early in the development process. I want to show you how to take advantage of these features. You will learn how to transform a single-noded app into a scalable one. During live coding session I will create both versions from scratch and guide you through the most important architectural decisions. If you are interested in scalability and know basics of message-based concurrency, this talk is for you. First, you will see how to create a web service as a single-noded Akka app. Then we will talk about scalability and availability problems with this approach and introduce sharding as potential solution. We will use this knowledge and Akka Cluster module to make our app more scalable.
Backend;Building multiplayer game using streams;In this talk you will learn how stream-based programming can be used to implement web frontend and multiplayer backend of the classic game: Snake. Building dynamic applications using imperative approach tends to create lots of unmaintainable code. Stream-based programming tries to solve this problem by introducing fully declarative way of defining application logic. While using streams, you will focus on WHAT needs to be done, not HOW and WHEN. The talk is divided into 3 parts. In the first part you will learn how to create a frontend of the Snake web game using streams as building blocks. Then, we will move to the server side and use Scala and Akka Stream library to create backend service that will allow the game to be played by multiple players. In the third part, we will discuss reactive streams and how they make asynchronous communication safe.
Backend;From Zero to Hero With Spring Boot;Join Spring Boot committer Stéphane Nicoll for a look at what Spring Boot is, why it's turning heads, why you should consider it for your next application (REST, web, batch, big-data, integration, whatever!) and how to get started.
Backend;Reactive Database Mapping with Scala and Slick;Slick does what some call FRM, i.e. Functional-Relational Mapping (as opposed to ORM), which basically lets you access your relational database as if it was a Scala collection. And since reactive is THE way to go nowadays, we' re going to be no different.
Backend;Reactive Kafka with Akka Streams;Apache Kafka is now widely adopted among modern distributed systems. In this presentation we will see how Akka Streams can add even more power to Kafka by exposing it as a reactive stream. We will see some examples of how the Reactive Kafka library can be leveraged to build a well-fitting and elegant match of partitioned, pull-based distributed log and asynchronous, backpressured streaming model.
Big Data;Tensorflow and deep learning - without at PhD;"Google has recently open-sourced its framework for machine learning and neural networks called Tensorflow. With this new tool, deep machine learning transitions from an area of research into mainstream software engineering. In this session, we will teach you how to choose the right neural network for your problem and how to make it behave. Familiarity with differential equations is no longer required. Instead, a couple of lines ofTensorflow Python, and a bag of """"tricks of the trade"""" will do the job. No previous Python knowledge required."
Big Data;Cloud Native Streaming and Event-Driven Microservices;The future of scalable data processing is event-driven microservices! They provide a powerful paradigm that provides solutions for problems typical for distributed applications, such as availability, data consistency, or communication complexity. The also allow the creation of sophisticated and extensible data processing pipelines, and bridge the gap between big data and the more traditional enterprise integration world. Spring Cloud Stream is a framework for creating event-driven microservices, building on the ease of development and execution of Spring Boot, the cloud native capabilities of Spring Cloud, and the message-driven programming model of Spring Integration, using messaging platforms such as RabbitMQ or Kafka. Complementary, Spring Cloud Data Flow is the orchestration layer that makes it easy to deploy and manage sophisticated data pipelines consisting of microservices, through a pluggable SPI that allows it to coordinate them across a variety of platforms such as YARN, Cloud Foundry, Kubernetes or Mesos. Via live coding, we will demonstrate how to use both to create complex data processing pipelines that bridge the world of big data and enterprise integration together.
Big Data;Distributed Commit Logs with Apache Kafka;Apache Kafka was created at LinkedIn as a resilient and scalable distributed commit log providing a traditional publish / subscribe interface. Now open source through Apache, Kafka is being used by numerous large enterprises for a variety of use cases. This session will introduce the basics of Kafka and walk through some code examples that will show how to begin using it.
Big Data;Fast Cars, Big Data - How Streaming Can Help Formula 1;Modern cars produce data. Lots of data. And Formula 1 cars produce more than their share. I will present a working demonstration of how modern data streaming can be applied to the data acquisition and analysis problem posed by modern motorsports. Instead of bringing multiple Formula 1 cars to the talk, I will show how we instrumented a high fidelity physics-based automotive simulator to produce realistic data from simulated cars running on the Spa-Francorchamps track. We move data from the cars, to the pits, to the engineers back at HQ. The result is near real-time visualization and comparison of performance and a great exposition of how to move data using messaging systems like Kafka, and process data in real time with Apache Spark, then analyse data using SQL with Apache Drill. The code from this talk will be made available as open source.
Big Data;Debugging Distributed Systems;Despite our best efforts, our systems fail. Sometimes it’s our fault - code that we wrote or bugs that we caused. But sometimes the fault is with systems that we rely on. ZooKeeper is a very useful distributed system that is often used as a building block for other distributed systems, like Kafka and Spark. It is used by PagerDuty for many critical systems, and for five months it failed on us a lot. We will walk through the process of finding and fixing one cause of many of these failures. You will learn how to use various tools to stress test the network, some intricate details of how ZooKeeper works, and possibly more than you wanted to know about TCP including an example of machines having a different view of the state of a TCP stream.
Big Data;Google Dataflow: The New Open Model for Batch and Stream Processing;In 2004 Google published the MapReduce paper, a programming model that kick-started big data as we know it. Ten years later, Google introduced Dataflow - a new paradigm, integrating batch and stream processing in one common abstraction. This time the offer was more than a paper, but also an open source Java SDK and a cloud managed service to run it. In 2016 big data players like Cask, Cloudera, Data Artisans, PayPal, Slack, Talend joined Google to propose Dataflow for incubation at the Apache Software Foundation - Dataflow is here, not only unifying batch and streaming, but also the big data world. In this talk we are going to review Dataflow's differentiating elements and why they matter. We’ll demonstrate Dataflow’s capabilities through a real-time demo with practical insights on how to manage and visualize streams of data.
